2024-12-28 14:11:59,498 - INFO - BLOCK - IP: 192.168.1.1, Protocol: tcp, Status: skipped, Details: IP already blocked
2024-12-28 14:15:50,178 - INFO - BLOCK - IP: 192.168.1.2, Protocol: tcp, Status: success, Details: 
2024-12-28 14:16:19,366 - INFO - BLOCK - IP: 192.168.1.2, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:45,538 - INFO - BLOCK - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:46,455 - INFO - BLOCK - IP: 192.168.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:15:47,371 - INFO - BLOCK - IP: 192.168.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:15:48,281 - INFO - BLOCK - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:49,195 - INFO - BLOCK - IP: 10.0.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:15:50,107 - INFO - BLOCK - IP: 10.0.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:15:51,031 - INFO - BLOCK - IP: 172.16.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:51,949 - INFO - BLOCK - IP: 172.16.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:15:52,872 - INFO - BLOCK - IP: 172.16.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:15:53,804 - INFO - BLOCK - IP: 203.0.113.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:54,733 - INFO - BLOCK - IP: 203.0.113.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:15:55,670 - INFO - BLOCK - IP: 203.0.113.3, Protocol: any, Status: success, Details: 
2025-01-01 12:15:56,593 - INFO - BLOCK - IP: 198.51.100.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:15:57,520 - INFO - BLOCK - IP: 198.51.100.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:15:58,439 - INFO - BLOCK - IP: 198.51.100.3, Protocol: any, Status: success, Details: 
2025-01-01 12:15:59,365 - INFO - BLOCK - IP: 8.8.8.8, Protocol: tcp, Status: success, Details: 
2025-01-01 12:16:00,289 - INFO - BLOCK - IP: 8.8.4.4, Protocol: udp, Status: success, Details: 
2025-01-01 12:16:01,214 - INFO - BLOCK - IP: 192.0.2.1, Protocol: any, Status: success, Details: 
2025-01-01 12:19:29,594 - INFO - ALLOW - IP: 192.168.0.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:30,099 - INFO - REMOVE - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:30,156 - INFO - ALLOW - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:31,044 - INFO - ALLOW - IP: 192.168.0.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:31,559 - INFO - REMOVE - IP: 192.168.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:31,615 - INFO - ALLOW - IP: 192.168.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:32,484 - INFO - ALLOW - IP: 192.168.0.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:32,982 - INFO - REMOVE - IP: 192.168.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:33,039 - INFO - ALLOW - IP: 192.168.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:19:33,944 - INFO - ALLOW - IP: 10.0.0.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:34,482 - INFO - REMOVE - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:34,541 - INFO - ALLOW - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:35,488 - INFO - ALLOW - IP: 10.0.0.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:36,034 - INFO - REMOVE - IP: 10.0.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:36,094 - INFO - ALLOW - IP: 10.0.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:37,004 - INFO - ALLOW - IP: 10.0.0.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:37,557 - INFO - REMOVE - IP: 10.0.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:37,617 - INFO - ALLOW - IP: 10.0.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:19:38,507 - INFO - ALLOW - IP: 172.16.0.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:39,030 - INFO - REMOVE - IP: 172.16.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:39,090 - INFO - ALLOW - IP: 172.16.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:40,001 - INFO - ALLOW - IP: 172.16.0.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:40,531 - INFO - REMOVE - IP: 172.16.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:40,593 - INFO - ALLOW - IP: 172.16.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:41,534 - INFO - ALLOW - IP: 172.16.0.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:42,063 - INFO - REMOVE - IP: 172.16.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:42,122 - INFO - ALLOW - IP: 172.16.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:19:43,034 - INFO - ALLOW - IP: 203.0.113.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:43,570 - INFO - REMOVE - IP: 203.0.113.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:43,632 - INFO - ALLOW - IP: 203.0.113.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:44,532 - INFO - ALLOW - IP: 203.0.113.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:45,051 - INFO - REMOVE - IP: 203.0.113.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:45,110 - INFO - ALLOW - IP: 203.0.113.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:46,032 - INFO - ALLOW - IP: 203.0.113.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:46,583 - INFO - REMOVE - IP: 203.0.113.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:46,647 - INFO - ALLOW - IP: 203.0.113.3, Protocol: any, Status: success, Details: 
2025-01-01 12:19:47,577 - INFO - ALLOW - IP: 198.51.100.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:48,107 - INFO - REMOVE - IP: 198.51.100.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:48,167 - INFO - ALLOW - IP: 198.51.100.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:49,083 - INFO - ALLOW - IP: 198.51.100.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:49,609 - INFO - REMOVE - IP: 198.51.100.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:49,669 - INFO - ALLOW - IP: 198.51.100.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:50,575 - INFO - ALLOW - IP: 198.51.100.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:51,108 - INFO - REMOVE - IP: 198.51.100.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:51,165 - INFO - ALLOW - IP: 198.51.100.3, Protocol: any, Status: success, Details: 
2025-01-01 12:19:52,082 - INFO - ALLOW - IP: 8.8.8.8, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:19:52,609 - INFO - REMOVE - IP: 8.8.8.8, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:52,669 - INFO - ALLOW - IP: 8.8.8.8, Protocol: tcp, Status: success, Details: 
2025-01-01 12:19:53,573 - INFO - ALLOW - IP: 8.8.4.4, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:19:54,091 - INFO - REMOVE - IP: 8.8.4.4, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:19:54,150 - INFO - ALLOW - IP: 8.8.4.4, Protocol: udp, Status: success, Details: 
2025-01-01 12:19:55,050 - INFO - ALLOW - IP: 192.0.2.1, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:19:55,597 - INFO - REMOVE - IP: 192.0.2.1, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:19:55,659 - INFO - ALLOW - IP: 192.0.2.1, Protocol: any, Status: success, Details: 
2025-01-01 12:22:23,340 - INFO - BLOCK - IP: 192.168.0.1, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:23,877 - INFO - REMOVE - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:23,937 - INFO - BLOCK - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:24,850 - INFO - BLOCK - IP: 192.168.0.2, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:25,364 - INFO - REMOVE - IP: 192.168.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:25,423 - INFO - BLOCK - IP: 192.168.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:26,332 - INFO - BLOCK - IP: 192.168.0.3, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:26,838 - INFO - REMOVE - IP: 192.168.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:26,899 - INFO - BLOCK - IP: 192.168.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:22:27,796 - INFO - BLOCK - IP: 10.0.0.1, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:28,319 - INFO - REMOVE - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:28,377 - INFO - BLOCK - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:29,348 - INFO - BLOCK - IP: 10.0.0.2, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:29,842 - INFO - REMOVE - IP: 10.0.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:29,901 - INFO - BLOCK - IP: 10.0.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:30,769 - INFO - BLOCK - IP: 10.0.0.3, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:31,267 - INFO - REMOVE - IP: 10.0.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:31,326 - INFO - BLOCK - IP: 10.0.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:22:32,196 - INFO - BLOCK - IP: 172.16.0.1, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:32,688 - INFO - REMOVE - IP: 172.16.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:32,746 - INFO - BLOCK - IP: 172.16.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:33,615 - INFO - BLOCK - IP: 172.16.0.2, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:34,128 - INFO - REMOVE - IP: 172.16.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:34,187 - INFO - BLOCK - IP: 172.16.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:35,070 - INFO - BLOCK - IP: 172.16.0.3, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:35,560 - INFO - REMOVE - IP: 172.16.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:35,619 - INFO - BLOCK - IP: 172.16.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:22:36,483 - INFO - BLOCK - IP: 203.0.113.1, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:36,977 - INFO - REMOVE - IP: 203.0.113.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:37,035 - INFO - BLOCK - IP: 203.0.113.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:37,902 - INFO - BLOCK - IP: 203.0.113.2, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:38,399 - INFO - REMOVE - IP: 203.0.113.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:38,456 - INFO - BLOCK - IP: 203.0.113.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:39,320 - INFO - BLOCK - IP: 203.0.113.3, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:39,816 - INFO - REMOVE - IP: 203.0.113.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:39,875 - INFO - BLOCK - IP: 203.0.113.3, Protocol: any, Status: success, Details: 
2025-01-01 12:22:40,743 - INFO - BLOCK - IP: 198.51.100.1, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:41,232 - INFO - REMOVE - IP: 198.51.100.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:41,291 - INFO - BLOCK - IP: 198.51.100.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:42,158 - INFO - BLOCK - IP: 198.51.100.2, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:42,657 - INFO - REMOVE - IP: 198.51.100.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:42,717 - INFO - BLOCK - IP: 198.51.100.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:43,602 - INFO - BLOCK - IP: 198.51.100.3, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:44,106 - INFO - REMOVE - IP: 198.51.100.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:44,165 - INFO - BLOCK - IP: 198.51.100.3, Protocol: any, Status: success, Details: 
2025-01-01 12:22:45,039 - INFO - BLOCK - IP: 8.8.8.8, Protocol: tcp, Status: removing existing allow, Details: 
2025-01-01 12:22:45,538 - INFO - REMOVE - IP: 8.8.8.8, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:45,596 - INFO - BLOCK - IP: 8.8.8.8, Protocol: tcp, Status: success, Details: 
2025-01-01 12:22:46,471 - INFO - BLOCK - IP: 8.8.4.4, Protocol: udp, Status: removing existing allow, Details: 
2025-01-01 12:22:46,973 - INFO - REMOVE - IP: 8.8.4.4, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:22:47,031 - INFO - BLOCK - IP: 8.8.4.4, Protocol: udp, Status: success, Details: 
2025-01-01 12:22:47,934 - INFO - BLOCK - IP: 192.0.2.1, Protocol: any, Status: removing existing allow, Details: 
2025-01-01 12:22:48,461 - INFO - REMOVE - IP: 192.0.2.1, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:22:48,527 - INFO - BLOCK - IP: 192.0.2.1, Protocol: any, Status: success, Details: 
2025-01-01 12:28:51,495 - INFO - ALLOW - IP: 192.168.0.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:28:51,993 - INFO - REMOVE - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
2025-01-01 12:28:52,051 - INFO - ALLOW - IP: 192.168.0.1, Protocol: tcp, Status: success, Details: 
2025-01-01 12:28:52,925 - INFO - ALLOW - IP: 192.168.0.2, Protocol: udp, Status: removing existing block, Details: 
2025-01-01 12:28:53,426 - INFO - REMOVE - IP: 192.168.0.2, Protocol: udp, Status: success, Details: Removed 1 rules
2025-01-01 12:28:53,486 - INFO - ALLOW - IP: 192.168.0.2, Protocol: udp, Status: success, Details: 
2025-01-01 12:28:54,362 - INFO - ALLOW - IP: 192.168.0.3, Protocol: any, Status: removing existing block, Details: 
2025-01-01 12:28:54,862 - INFO - REMOVE - IP: 192.168.0.3, Protocol: any, Status: success, Details: Removed 1 rules
2025-01-01 12:28:54,921 - INFO - ALLOW - IP: 192.168.0.3, Protocol: any, Status: success, Details: 
2025-01-01 12:28:55,798 - INFO - ALLOW - IP: 10.0.0.1, Protocol: tcp, Status: removing existing block, Details: 
2025-01-01 12:28:56,299 - INFO - REMOVE - IP: 10.0.0.1, Protocol: tcp, Status: success, Details: Removed 1 rules
